job_id,job_name,experience_required,education
202,Machine Learning Engineer,8,Bachelor
203,Quantitative Analyst,2,Bachelor
204,Data Architect,7,PhD
205,Data Architect,9,PhD
206,Business Intelligence Analyst,1,Bachelor
207,Machine Learning Engineer,1,Bachelor
208,Statistician,4,Master
209,Big Data Engineer,1,Bachelor
210,Business Intelligence Analyst,4,PhD
211,Business Intelligence Analyst,9,PhD
212,Big Data Engineer,7,Master
213,Research Scientist,7,PhD
214,Data Scientist,5,Bachelor
215,Business Intelligence Analyst,9,PhD
216,Statistician,4,PhD
217,Machine Learning Engineer,8,Bachelor
218,Data Architect,8,PhD
219,Research Scientist,7,Bachelor
220,Quantitative Analyst,2,Master
221,Data Scientist,4,Bachelor
222,Data Engineer,5,Bachelor
223,Big Data Engineer,1,PhD
224,Statistician,8,PhD
225,Data Architect,7,PhD
226,Data Architect,1,Master
227,Data Analyst,3,Bachelor
228,Data Scientist,4,Bachelor
229,Data Engineer,8,Bachelor
230,Quantitative Analyst,8,PhD
231,Statistician,10,Bachelor
232,Quantitative Analyst,9,Bachelor
233,Quantitative Analyst,7,Bachelor
234,Quantitative Analyst,3,Bachelor
235,Research Scientist,7,Bachelor
236,Data Scientist,5,Master
237,Big Data Engineer,8,Master
238,Quantitative Analyst,7,Bachelor
239,Quantitative Analyst,10,Master
240,Machine Learning Engineer,2,Master
241,Research Scientist,2,Bachelor
242,Quantitative Analyst,6,PhD
243,Data Engineer,6,Bachelor
244,Data Engineer,4,Master
245,Data Analyst,3,PhD
246,Big Data Engineer,2,Bachelor
247,Statistician,1,Master
248,Statistician,10,PhD
249,Data Engineer,1,PhD
250,Statistician,8,Master
251,Data Scientist,5,Master
252,Statistician,3,Bachelor
253,Data Architect,4,Master
254,Big Data Engineer,7,Bachelor
255,Big Data Engineer,10,Bachelor
256,Big Data Engineer,8,PhD
257,Data Analyst,7,Bachelor
258,Statistician,5,PhD
259,Business Intelligence Analyst,2,Master
260,Data Architect,9,Master
261,Statistician,5,Master
262,Quantitative Analyst,5,Master
263,Research Scientist,8,Bachelor
264,Data Engineer,7,Master
265,Data Analyst,4,Master
266,Data Scientist,7,Master
267,Statistician,10,Bachelor
268,Data Scientist,7,PhD
269,Business Intelligence Analyst,9,PhD
270,Research Scientist,1,Master
271,Research Scientist,4,PhD
272,Data Scientist,3,Master
273,Quantitative Analyst,4,PhD
274,Data Engineer,2,Master
275,Data Analyst,3,Master
276,Machine Learning Engineer,3,Master
277,Business Intelligence Analyst,5,Master
278,Big Data Engineer,5,Bachelor
279,Data Architect,4,Bachelor
280,Big Data Engineer,3,PhD
281,Data Analyst,1,Master
282,Statistician,5,Master
283,Data Engineer,7,Master
284,Data Scientist,2,Bachelor
285,Quantitative Analyst,6,Master
286,Data Architect,5,PhD
287,Data Engineer,10,Master
288,Data Engineer,2,Bachelor
289,Research Scientist,7,Master
290,Big Data Engineer,5,PhD
291,Machine Learning Engineer,2,Bachelor
292,Quantitative Analyst,2,Bachelor
293,Data Scientist,4,PhD
294,Big Data Engineer,1,Bachelor
295,Quantitative Analyst,1,Master
296,Research Scientist,1,PhD
297,Data Engineer,6,Master
298,Statistician,8,Bachelor
299,Data Analyst,9,Bachelor
300,Business Intelligence Analyst,9,Master
301,Data Analyst,9,Master
302,Statistician,8,Master
303,Machine Learning Engineer,6,PhD
304,Quantitative Analyst,3,Master
305,Data Scientist,4,Bachelor
306,Research Scientist,6,Bachelor
307,Research Scientist,2,Bachelor
308,Business Intelligence Analyst,4,PhD
309,Data Architect,4,Master
310,Data Engineer,4,PhD
311,Statistician,10,Bachelor
312,Research Scientist,1,Master
313,Business Intelligence Analyst,2,Bachelor
314,Machine Learning Engineer,6,Bachelor
315,Data Analyst,1,PhD
316,Data Architect,2,PhD
317,Data Architect,2,Master
318,Statistician,4,PhD
319,Data Analyst,2,Bachelor
320,Big Data Engineer,8,Master
321,Statistician,5,Bachelor
322,Big Data Engineer,3,Bachelor
323,Research Scientist,5,PhD
324,Machine Learning Engineer,6,PhD
325,Research Scientist,10,Master
326,Data Analyst,10,PhD
327,Data Analyst,2,PhD
328,Data Scientist,7,Bachelor
329,Business Intelligence Analyst,7,Master
330,Research Scientist,7,PhD
331,Data Scientist,8,Bachelor
332,Machine Learning Engineer,10,Bachelor
333,Data Engineer,3,Bachelor
334,Machine Learning Engineer,1,Bachelor
335,Quantitative Analyst,3,PhD
336,Data Analyst,2,PhD
337,Statistician,9,Bachelor
338,Data Analyst,7,PhD
339,Data Architect,6,PhD
340,Quantitative Analyst,2,PhD
341,Big Data Engineer,1,Master
342,Data Engineer,7,Master
343,Big Data Engineer,6,Bachelor
344,Data Scientist,10,Bachelor
345,Business Intelligence Analyst,9,PhD
346,Quantitative Analyst,5,Bachelor
347,Data Architect,1,Bachelor
348,Big Data Engineer,8,Bachelor
349,Data Scientist,1,Master
350,Big Data Engineer,3,Master
351,Machine Learning Engineer,8,PhD
352,Machine Learning Engineer,10,Master
353,Statistician,2,Master
354,Machine Learning Engineer,4,PhD
355,Machine Learning Engineer,2,PhD
356,Quantitative Analyst,5,PhD
357,Business Intelligence Analyst,7,Bachelor
358,Machine Learning Engineer,3,Master
359,Quantitative Analyst,5,Master
360,Quantitative Analyst,4,Bachelor
361,Machine Learning Engineer,5,Master
362,Quantitative Analyst,7,Master
363,Data Analyst,3,Master
364,Business Intelligence Analyst,2,Master
365,Data Analyst,6,Master
366,Statistician,6,Master
367,Data Analyst,6,Bachelor
368,Statistician,6,Bachelor
369,Data Analyst,4,Bachelor
370,Quantitative Analyst,3,Bachelor
371,Data Analyst,9,PhD
372,Data Analyst,7,Bachelor
373,Data Architect,2,PhD
374,Data Engineer,5,Bachelor
375,Data Analyst,10,PhD
376,Business Intelligence Analyst,9,Bachelor
377,Data Engineer,5,Bachelor
378,Big Data Engineer,9,PhD
379,Data Architect,9,PhD
380,Data Architect,7,PhD
381,Data Scientist,1,Master
382,Data Engineer,4,PhD
383,Quantitative Analyst,10,Bachelor
384,Business Intelligence Analyst,1,Bachelor
385,Data Scientist,3,PhD
386,Data Scientist,4,Master
387,Business Intelligence Analyst,10,Bachelor
388,Data Scientist,8,Bachelor
389,Quantitative Analyst,9,Bachelor
390,Data Engineer,3,Bachelor
391,Machine Learning Engineer,7,PhD
392,Statistician,7,Bachelor
393,Machine Learning Engineer,10,PhD
394,Research Scientist,8,Master
395,Machine Learning Engineer,7,Master
396,Data Scientist,6,Master
397,Quantitative Analyst,3,PhD
398,Data Analyst,9,Bachelor
399,Quantitative Analyst,5,PhD
400,Big Data Engineer,5,PhD
401,Data Analyst,7,PhD
402,Research Scientist,5,PhD
403,Data Scientist,3,PhD
404,Data Architect,9,PhD
405,Research Scientist,7,Master
406,Statistician,5,Master
407,Big Data Engineer,6,PhD
408,Machine Learning Engineer,9,Bachelor
409,Research Scientist,3,PhD
410,Business Intelligence Analyst,6,Bachelor
411,Machine Learning Engineer,10,Bachelor
412,Big Data Engineer,7,Master
413,Big Data Engineer,3,Bachelor
414,Machine Learning Engineer,9,Master
415,Data Architect,7,Master
416,Data Engineer,1,Bachelor
417,Data Architect,8,Master
418,Business Intelligence Analyst,10,Master
419,Big Data Engineer,5,Master
420,Statistician,6,PhD
421,Data Architect,3,Bachelor
422,Big Data Engineer,3,Bachelor
423,Data Analyst,5,Bachelor
424,Data Engineer,6,PhD
425,Machine Learning Engineer,6,Bachelor
426,Quantitative Analyst,6,Master
427,Research Scientist,5,Master
428,Research Scientist,2,Bachelor
429,Statistician,3,PhD
430,Data Analyst,9,Bachelor
431,Data Architect,8,Bachelor
432,Data Engineer,3,PhD
433,Data Engineer,7,PhD
434,Data Architect,5,Bachelor
435,Data Scientist,1,Bachelor
436,Data Scientist,3,Master
437,Business Intelligence Analyst,1,Master
438,Data Engineer,1,Bachelor
439,Data Architect,5,PhD
440,Quantitative Analyst,3,Master
441,Data Scientist,7,Master
442,Business Intelligence Analyst,5,Master
443,Data Scientist,2,PhD
444,Data Architect,4,Master
445,Statistician,8,Bachelor
446,Data Scientist,1,PhD
447,Quantitative Analyst,8,Master
448,Big Data Engineer,7,Bachelor
449,Big Data Engineer,3,Master
450,Data Scientist,1,Master
451,Research Scientist,10,Master
452,Big Data Engineer,5,Master
453,Quantitative Analyst,2,Bachelor
454,Big Data Engineer,2,PhD
455,Research Scientist,2,Master
456,Data Analyst,3,Master
457,Business Intelligence Analyst,1,Master
458,Data Architect,5,PhD
459,Statistician,9,PhD
460,Data Architect,3,PhD
461,Data Analyst,6,Bachelor
462,Big Data Engineer,3,Master
463,Machine Learning Engineer,2,PhD
464,Data Scientist,3,Bachelor
465,Statistician,10,Master
466,Data Analyst,10,PhD
467,Quantitative Analyst,2,PhD
468,Data Scientist,1,Master
469,Machine Learning Engineer,9,PhD
470,Data Engineer,8,Bachelor
471,Business Intelligence Analyst,8,Master
472,Data Architect,4,PhD
473,Statistician,3,Master
474,Machine Learning Engineer,7,Bachelor
475,Data Architect,3,Master
476,Statistician,1,PhD
477,Business Intelligence Analyst,10,PhD
478,Business Intelligence Analyst,10,Bachelor
479,Quantitative Analyst,2,PhD
480,Research Scientist,4,Master
481,Data Engineer,2,PhD
482,Data Architect,9,PhD
483,Business Intelligence Analyst,4,PhD
484,Big Data Engineer,9,Master
485,Data Engineer,4,PhD
486,Research Scientist,3,Bachelor
487,Quantitative Analyst,6,PhD
488,Research Scientist,8,PhD
489,Data Scientist,9,Master
490,Data Scientist,8,Bachelor
491,Data Scientist,6,PhD
492,Data Architect,6,PhD
493,Data Scientist,7,Master
494,Machine Learning Engineer,4,Bachelor
495,Quantitative Analyst,7,Bachelor
496,Statistician,1,PhD
497,Data Architect,10,Master
498,Statistician,8,Master
499,Data Analyst,4,Bachelor
500,Machine Learning Engineer,6,PhD
501,Machine Learning Engineer,10,PhD
502,Data Architect,9,PhD
503,Quantitative Analyst,6,PhD
504,Data Engineer,4,PhD
505,Data Analyst,7,Master
506,Data Scientist,6,Master
507,Quantitative Analyst,5,PhD
508,Data Scientist,2,Bachelor
509,Research Scientist,9,PhD
510,Big Data Engineer,10,Bachelor
511,Business Intelligence Analyst,9,Master
512,Big Data Engineer,6,Master
513,Quantitative Analyst,3,Bachelor
514,Data Architect,1,Master
515,Quantitative Analyst,2,Bachelor
516,Data Scientist,7,Bachelor
517,Statistician,7,PhD
518,Quantitative Analyst,6,PhD
519,Research Scientist,1,Master
520,Data Architect,4,Bachelor
521,Statistician,2,PhD
522,Data Analyst,5,Bachelor
523,Big Data Engineer,5,Master
524,Data Analyst,9,Master
525,Big Data Engineer,10,Bachelor
526,Research Scientist,5,PhD
527,Data Engineer,3,Master
528,Research Scientist,8,PhD
529,Data Engineer,4,PhD
530,Business Intelligence Analyst,7,PhD
531,Data Architect,9,Master
532,Machine Learning Engineer,8,Master
533,Data Scientist,5,Master
534,Big Data Engineer,6,Bachelor
535,Data Scientist,8,Master
536,Data Architect,2,PhD
537,Business Intelligence Analyst,5,Bachelor
538,Machine Learning Engineer,5,PhD
539,Data Scientist,3,Bachelor
540,Business Intelligence Analyst,6,Bachelor
541,Statistician,3,Master
542,Statistician,1,Bachelor
543,Research Scientist,5,Master
544,Data Engineer,7,Bachelor
545,Research Scientist,1,Master
546,Machine Learning Engineer,7,Bachelor
547,Data Scientist,3,Master
548,Statistician,6,PhD
549,Data Architect,3,Bachelor
550,Quantitative Analyst,1,Master
551,Data Analyst,8,Bachelor
552,Data Engineer,8,Master
553,Data Analyst,4,Bachelor
554,Data Engineer,2,Master
555,Data Analyst,4,PhD
556,Research Scientist,9,PhD
557,Data Scientist,8,Master
558,Quantitative Analyst,1,Bachelor
559,Quantitative Analyst,7,Bachelor
560,Business Intelligence Analyst,6,Master
561,Data Analyst,1,Bachelor
562,Data Engineer,1,Master
563,Data Engineer,5,Bachelor
564,Quantitative Analyst,7,Master
565,Statistician,5,Master
566,Quantitative Analyst,6,Bachelor
567,Quantitative Analyst,1,PhD
568,Data Engineer,10,Master
569,Data Architect,3,Master
570,Quantitative Analyst,2,PhD
571,Data Engineer,5,PhD
572,Data Analyst,8,Bachelor
573,Data Analyst,8,Bachelor
574,Research Scientist,7,Bachelor
575,Data Scientist,6,PhD
576,Machine Learning Engineer,6,Master
577,Big Data Engineer,2,Bachelor
578,Statistician,1,PhD
579,Machine Learning Engineer,4,Bachelor
580,Data Engineer,4,Master
581,Research Scientist,3,Master
582,Data Architect,6,PhD
583,Big Data Engineer,10,Master
584,Data Engineer,8,Master
585,Research Scientist,9,PhD
586,Big Data Engineer,4,PhD
587,Business Intelligence Analyst,3,Bachelor
588,Machine Learning Engineer,8,PhD
589,Data Analyst,7,Bachelor
590,Research Scientist,2,PhD
591,Quantitative Analyst,1,Bachelor
592,Data Scientist,3,Bachelor
593,Statistician,9,PhD
594,Business Intelligence Analyst,2,Master
595,Data Analyst,6,PhD
596,Big Data Engineer,10,Master
597,Research Scientist,9,Master
598,Data Scientist,9,Bachelor
599,Big Data Engineer,2,Master
600,Big Data Engineer,2,PhD
601,Research Scientist,1,Bachelor
602,Machine Learning Engineer,2,Master
603,Data Scientist,8,PhD
604,Data Architect,8,Master
605,Statistician,5,Master
606,Data Scientist,6,Bachelor
607,Data Engineer,2,Bachelor
608,Machine Learning Engineer,7,Bachelor
609,Data Analyst,3,Master
610,Machine Learning Engineer,4,Bachelor
611,Data Architect,4,Bachelor
612,Research Scientist,10,Bachelor
613,Data Architect,10,PhD
614,Data Analyst,8,Bachelor
615,Business Intelligence Analyst,6,PhD
616,Data Engineer,4,Bachelor
617,Business Intelligence Analyst,2,Bachelor
618,Data Analyst,7,PhD
619,Statistician,5,PhD
620,Big Data Engineer,1,Master
621,Big Data Engineer,7,Bachelor
622,Data Architect,6,PhD
623,Data Scientist,8,Master
624,Business Intelligence Analyst,2,PhD
625,Statistician,10,Master
626,Big Data Engineer,1,Bachelor
627,Statistician,7,PhD
628,Machine Learning Engineer,7,Master
629,Business Intelligence Analyst,1,Bachelor
630,Data Scientist,4,Bachelor
631,Data Analyst,8,Bachelor
632,Data Scientist,6,Bachelor
633,Data Analyst,1,Master
634,Business Intelligence Analyst,7,Master
635,Data Analyst,8,Master
636,Research Scientist,4,Master
637,Research Scientist,7,Master
638,Research Scientist,9,Master
639,Data Scientist,7,Bachelor
640,Big Data Engineer,10,Bachelor
641,Machine Learning Engineer,6,Bachelor
642,Data Analyst,9,Bachelor
643,Data Analyst,1,PhD
644,Data Engineer,4,PhD
645,Data Scientist,6,PhD
646,Statistician,1,PhD
647,Data Scientist,6,Master
648,Data Architect,5,Master
649,Business Intelligence Analyst,10,Master
650,Machine Learning Engineer,1,Master
651,Research Scientist,3,Master
652,Quantitative Analyst,6,PhD
653,Data Analyst,2,Bachelor
654,Research Scientist,6,PhD
655,Statistician,5,PhD
656,Business Intelligence Analyst,1,Bachelor
657,Data Engineer,10,Master
658,Data Scientist,3,PhD
659,Machine Learning Engineer,3,Bachelor
660,Data Engineer,9,Bachelor
661,Research Scientist,1,Master
662,Data Engineer,6,PhD
663,Data Engineer,4,Master
664,Data Architect,4,PhD
665,Business Intelligence Analyst,3,Bachelor
666,Data Engineer,2,Master
667,Machine Learning Engineer,8,Master
668,Big Data Engineer,9,Master
669,Data Engineer,1,PhD
670,Data Analyst,2,Bachelor
671,Statistician,9,Master
672,Quantitative Analyst,8,PhD
673,Research Scientist,1,Bachelor
674,Business Intelligence Analyst,3,Bachelor
675,Data Engineer,7,Bachelor
676,Data Analyst,8,Master
677,Data Architect,5,Bachelor
678,Data Engineer,5,PhD
679,Machine Learning Engineer,7,Bachelor
680,Quantitative Analyst,4,PhD
681,Big Data Engineer,3,Bachelor
682,Data Scientist,3,Bachelor
683,Big Data Engineer,2,Bachelor
684,Statistician,9,PhD
685,Machine Learning Engineer,6,Master
686,Research Scientist,5,PhD
687,Machine Learning Engineer,7,Master
688,Data Scientist,2,Bachelor
689,Big Data Engineer,8,PhD
690,Data Architect,8,PhD
691,Quantitative Analyst,3,PhD
692,Research Scientist,7,Master
693,Data Architect,1,PhD
694,Data Architect,2,Bachelor
695,Machine Learning Engineer,1,PhD
696,Data Engineer,10,PhD
697,Data Scientist,4,PhD
698,Data Engineer,4,PhD
699,Data Analyst,2,Master
700,Business Intelligence Analyst,2,Bachelor
701,Machine Learning Engineer,10,Bachelor
702,Machine Learning Engineer,9,Bachelor
703,Data Analyst,6,PhD
704,Data Engineer,6,PhD
705,Machine Learning Engineer,2,PhD
706,Quantitative Analyst,9,Master
707,Data Engineer,2,Master
708,Data Analyst,9,PhD
709,Research Scientist,9,Master
710,Quantitative Analyst,2,Bachelor
711,Big Data Engineer,10,PhD
712,Research Scientist,3,Master
713,Data Scientist,6,PhD
714,Machine Learning Engineer,8,Master
715,Data Architect,4,PhD
716,Statistician,10,PhD
717,Machine Learning Engineer,7,Master
718,Machine Learning Engineer,10,Master
719,Business Intelligence Analyst,2,PhD
720,Big Data Engineer,7,Master
721,Machine Learning Engineer,7,Master
722,Machine Learning Engineer,1,Bachelor
723,Data Analyst,9,Bachelor
724,Machine Learning Engineer,6,PhD
725,Research Scientist,2,PhD
726,Machine Learning Engineer,10,Bachelor
727,Research Scientist,3,PhD
728,Data Analyst,10,PhD
729,Research Scientist,7,Master
730,Big Data Engineer,3,PhD
731,Big Data Engineer,3,Bachelor
732,Business Intelligence Analyst,8,Master
733,Data Analyst,9,PhD
734,Data Analyst,4,PhD
735,Quantitative Analyst,6,Master
736,Data Engineer,1,Bachelor
737,Data Scientist,6,Bachelor
738,Quantitative Analyst,6,PhD
739,Quantitative Analyst,10,Master
740,Big Data Engineer,4,PhD
741,Data Architect,3,PhD
742,Data Architect,1,Master
743,Quantitative Analyst,4,Bachelor
744,Machine Learning Engineer,3,Bachelor
745,Research Scientist,7,Bachelor
746,Machine Learning Engineer,10,Master
747,Data Scientist,8,Bachelor
748,Quantitative Analyst,1,PhD
749,Data Engineer,7,Bachelor
750,Research Scientist,9,Bachelor
751,Research Scientist,6,Bachelor
752,Data Analyst,6,Master
753,Big Data Engineer,8,PhD
754,Business Intelligence Analyst,7,PhD
755,Quantitative Analyst,1,Bachelor
756,Machine Learning Engineer,2,Bachelor
757,Machine Learning Engineer,9,Bachelor
758,Machine Learning Engineer,3,PhD
759,Statistician,10,Bachelor
760,Data Architect,2,Bachelor
761,Big Data Engineer,2,Bachelor
762,Research Scientist,1,Master
763,Data Architect,8,Master
764,Research Scientist,3,Bachelor
765,Big Data Engineer,2,Master
766,Statistician,8,Bachelor
767,Data Architect,5,Bachelor
768,Data Analyst,9,Bachelor
769,Data Engineer,1,Master
770,Quantitative Analyst,2,Bachelor
771,Research Scientist,4,PhD
772,Data Scientist,7,Bachelor
773,Business Intelligence Analyst,9,Master
774,Data Scientist,9,PhD
775,Big Data Engineer,3,PhD
776,Business Intelligence Analyst,3,Master
777,Big Data Engineer,2,PhD
778,Data Scientist,7,PhD
779,Data Architect,6,PhD
780,Machine Learning Engineer,7,PhD
781,Data Architect,7,PhD
782,Data Engineer,6,Bachelor
783,Statistician,1,Master
784,Machine Learning Engineer,10,Master
785,Statistician,3,PhD
786,Data Scientist,2,PhD
787,Data Scientist,1,Master
788,Research Scientist,10,Bachelor
789,Research Scientist,8,Bachelor
790,Data Analyst,1,Master
791,Data Analyst,9,Bachelor
792,Data Analyst,7,PhD
793,Business Intelligence Analyst,10,Bachelor
794,Big Data Engineer,1,Master
795,Statistician,3,PhD
796,Business Intelligence Analyst,9,PhD
797,Business Intelligence Analyst,10,Master
798,Big Data Engineer,4,PhD
799,Data Scientist,1,PhD
800,Data Engineer,4,PhD
801,Data Analyst,6,PhD
802,Data Scientist,10,Bachelor
803,Data Engineer,8,PhD
804,Quantitative Analyst,5,Master
805,Data Engineer,4,Master
806,Business Intelligence Analyst,8,PhD
807,Data Analyst,10,Master
808,Research Scientist,7,Master
809,Big Data Engineer,5,Bachelor
810,Data Scientist,7,PhD
811,Research Scientist,9,PhD
812,Data Architect,1,PhD
813,Business Intelligence Analyst,4,PhD
814,Business Intelligence Analyst,2,PhD
815,Research Scientist,4,PhD
816,Machine Learning Engineer,4,PhD
817,Data Analyst,2,Bachelor
818,Data Architect,2,PhD
819,Business Intelligence Analyst,2,Bachelor
820,Machine Learning Engineer,8,Master
821,Business Intelligence Analyst,6,Bachelor
822,Machine Learning Engineer,10,PhD
823,Big Data Engineer,9,Master
824,Data Scientist,2,Master
825,Statistician,10,Master
826,Big Data Engineer,9,Bachelor
827,Business Intelligence Analyst,9,PhD
828,Research Scientist,9,Master
829,Data Engineer,6,Bachelor
830,Data Scientist,10,PhD
831,Machine Learning Engineer,9,Bachelor
832,Data Scientist,4,PhD
833,Data Scientist,2,Bachelor
834,Business Intelligence Analyst,9,Master
835,Business Intelligence Analyst,9,Bachelor
836,Business Intelligence Analyst,8,Master
837,Data Scientist,10,PhD
838,Data Architect,7,Bachelor
839,Quantitative Analyst,3,Master
840,Data Analyst,3,PhD
841,Statistician,1,Bachelor
842,Statistician,10,Bachelor
843,Data Engineer,1,Bachelor
844,Data Architect,5,Master
845,Business Intelligence Analyst,3,PhD
846,Data Scientist,9,PhD
847,Data Analyst,6,PhD
848,Research Scientist,5,PhD
849,Machine Learning Engineer,9,Master
